ra,dec,name
46.34346,0.85837,SN 2005fv
52.70433,-1.23810,SN 2005fw
344.20142,0.40109,SN 2005fx
50.09042,-0.88558,SN 2005fy
330.92171,0.56953,SN 2005fz
16.93233,-1.03950,SN 2005ga
19.05242,0.79195,SN 2005gb
20.40675,-0.97723,SN 2005gc
29.96262,0.64061,SN 2005gd
34.56133,0.79656,SN 2005ge
334.06929,0.70812,SN 2005gf
334.67150,0.63920,SN 2005gg
312.65146,-0.35410,SN 2005gh
13.96950,0.50495,SN 2005gi
45.29979,-0.55386,SN 2005gj
47.06688,-4.20006,SN 2005gk
12.45842,32.28244,SN 2005gl
55.66375,-6.38444,SN 2005gm
87.20446,-24.37931,SN 2005gn
17.70496,1.00789,SN 2005go
55.49704,-0.78267,SN 2005gp
53.45404,0.70933,SN 2005gq
54.15621,1.07917,SN 2005gr
333.29271,1.05056,SN 2005gs
31.01600,-0.36583,SN 2005gt
12.23771,-0.90572,SN 2005gu
38.47554,0.28072,SN 2005gv
354.49833,0.64211,SN 2005gw
359.88442,0.73717,SN 2005gx
21.52833,0.67689,SN 2005gy
316.33621,-7.84653,SN 2005gz
95.45433,0.36544,SN 2005ha
101.38183,25.83278,SN 2005hb
29.19975,-0.21367,SN 2005hc
64.05154,-13.21989,SN 2005hd
339.93933,34.37861,SN 2005he
21.77488,19.11681,SN 2005hf
28.92446,46.79650,SN 2005hg
63.27296,-25.06681,SN 2005hh
40.25100,16.71061,SN 2005hi
21.70113,-1.23800,SN 2005hj
6.96196,-1.19792,SN 2005hk
313.83246,0.54297,SN 2005hl
324.75271,-1.02742,SN 2005hm
329.26771,-0.22347,SN 2005hn
14.85042,0.00261,SN 2005ho
307.21917,-0.77925,SN 2005hp
312.58242,-0.82528,SN 2005hq
49.64096,0.12336,SN 2005hr
52.34192,-1.09469,SN 2005hs
312.60254,-0.16789,SN 2005ht
328.66996,0.41344,SN 2005hu
333.18275,-0.03492,SN 2005hv
2.36863,1.15492,SN 2005hw
3.25054,0.24822,SN 2005hx
3.59829,0.33306,SN 2005hy
11.63417,0.83825,SN 2005hz
17.89596,-0.00589,SN 2005ia
22.85704,-0.60339,SN 2005ib
327.78621,-0.84294,SN 2005ic
349.13883,-0.66319,SN 2005id
34.76058,-0.27283,SN 2005ie
52.55362,-0.97458,SN 2005if
337.63117,-0.50267,SN 2005ig
1.80658,0.34897,SN 2005ih
3.26554,-0.62014,SN 2005ii
46.08858,-1.06294,SN 2005ij
322.81500,-1.05700,SN 2005ik
28.27821,1.11375,SN 2005il
9.01196,0.83500,SN 2005im
33.36742,-0.96825,SN 2005in
87.60267,49.71847,SN 2005io
143.02675,8.44567,SN 2005ip
359.63542,-18.70917,SN 2005iq
19.18233,0.79456,SN 2005ir
5.43738,-0.32503,SN 2005is
16.19042,0.51392,SN 2005it
305.06500,0.21739,SN 2005iu
307.93613,0.24475,SN 2005iv
337.32400,-0.09236,SN 2005iw
310.48283,1.09200,SN 2005ix
321.21646,0.38561,SN 2005iy
328.06862,0.26708,SN 2005iz
358.96933,0.87700,SN 2005ja
339.01337,-0.36792,SN 2005jb
11.35171,1.07558,SN 2005jc
34.27583,0.53483,SN 2005jd
38.86092,1.07489,SN 2005je
53.41983,-0.11208,SN 2005jf
345.26238,-0.20736,SN 2005jg
350.01846,-0.05547,SN 2005jh
4.32642,-0.25725,SN 2005ji
314.18608,0.40833,SN 2005jj
26.49762,1.19594,SN 2005jk
323.23383,-0.69978,SN 2005jl
328.07908,0.47192,SN 2005jm
4.75346,-0.28150,SN 2005jn
52.09033,-0.32608,SN 2005jo
32.45996,-0.06175,SN 2005jp
307.44867,1.14269,SN 2005jq
15.05154,0.34081,SN 2005jr
23.67300,-0.60536,SN 2005js
42.66733,-0.06597,SN 2005jt
39.11683,0.51128,SN 2005ju
40.20883,0.99314,SN 2005jv
310.08021,-0.00717,SN 2005jw
323.58404,-0.68169,SN 2005jx
348.46500,1.25700,SN 2005jy
22.86275,-0.63161,SN 2005jz
333.48317,1.08650,SN 2005ka
12.71117,0.85361,SN 2005kb
338.53058,5.56842,SN 2005kc
60.82033,71.72192,SN 2005kd
53.76812,-24.94411,SN 2005ke
116.86046,26.92567,SN 2005kf
317.91312,-23.17222,SN 2005kg
150.35587,15.78039,SN 2005kh
160.11758,9.20233,SN 2005ki
130.03825,-5.60061,SN 2005kj
159.91675,25.32364,SN 2005kk
186.14867,39.38431,SN 2005kl
170.20300,32.29033,SN 2005km
318.88521,-0.35533,SN 2005kn
357.52092,-0.92139,SN 2005ko
7.72150,-0.71883,SN 2005kp
347.83713,-0.60864,SN 2005kq
47.12358,0.88894,SN 2005kr
324.48567,-0.03247,SN 2005ks
17.74188,0.27614,SN 2005kt
344.92754,-0.01369,SN 2005ku
128.54646,6.27636,SN 2005kv
144.02521,24.40383,SN 2005kw
153.60871,77.82206,SN 2005kx
36.15106,-4.18193,SN 2005ky
285.20758,50.88383,SN 2005kz
193.06533,27.53125,SN 2005la
343.70854,-0.25250,SN 2005lb
45.54658,-1.16650,SN 2005lc
325.00200,-0.00792,SN 2005ld
337.88454,-0.49356,SN 2005le
349.67537,-1.20486,SN 2005lf
19.08363,-0.80781,SN 2005lg
328.95142,1.18081,SN 2005lh
335.81437,0.25303,SN 2005li
29.42929,-0.17944,SN 2005lj
329.95596,-1.19369,SN 2005lk
337.02862,-1.12817,SN 2005ll
3.77046,0.35514,SN 2005lm
6.75050,-0.58661,SN 2005ln
9.29942,-1.20342,SN 2005lo
26.92833,0.20722,SN 2005lp
40.40017,0.20503,SN 2005lq
107.91263,-26.70561,SN 2005lr
43.56654,42.72494,SN 2005ls
175.60921,20.11806,SN 2005lt
39.01546,-17.26389,SN 2005lu
62.23529,27.19744,SN 2005lv
167.01337,-12.48594,SN 2005lw
35.66254,28.25197,SN 2005lx
20.87017,30.77936,SN 2005ly
32.70733,34.98283,SN 2005lz
72.47463,-10.75650,SN 2005ma
196.46858,41.71639,SN 2005mb
126.77650,21.64600,SN 2005mc
101.82962,33.57358,SN 2005md
22.53842,-42.68528,SN 2005me
137.17638,44.81428,SN 2005mf
4.18421,7.07217,SN 2005mg
41.23617,0.20358,SN 2005mh
335.26104,-0.74817,SN 2005mi
322.95600,-1.06939,SN 2005mj
340.66933,0.83303,SN 2005mk
33.51842,-0.23919,SN 2005ml
3.28979,1.14553,SN 2005mm
57.32683,-0.69206,SN 2005mn
57.55375,-0.24022,SN 2005mo
16.19033,0.05564,SN 2005mp
350.09079,-0.34989,SN 2005mq
189.13439,62.25402,SN 2005mr
132.30975,36.12997,SN 2005ms
156.05375,-3.74739,SN 2005mt
323.96875,-26.45097,SN 2005mu
311.32000,-3.82658,SN 2005mv
264.43417,11.15103,SN 2005mw
325.03417,10.65389,SN 2005mx
60.47138,-41.93564,SN 2005my
49.95783,41.50517,SN 2005mz
105.40258,14.13325,SN 2005na
183.40671,16.12117,SN 2005nb
278.13575,26.33961,SN 2005nc
32.30851,-4.62005,SN 2006tp
